"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC112532717",2.4136015877085e-71,0.920627268602541,4.40445780040149,0.875,0.025,2.85215299619513e-67
"LOC107049019",3.21336010170542e-71,0.910843920145191,4.83017621300277,0.844,0.024,3.7972276321853e-67
"INSM1",4.38509695097643e-68,0.936677631578947,5.01768132555942,0.906,0.034,5.18186906696885e-64
"LOC418355",1.74137677070894e-67,0.942887931034483,5.2911811774812,0.906,0.038,2.05778492994676e-63
"HEPACAM2",1.98514163008418e-63,0.75,15.4705903644357,0.5,0,2.34584186427048e-59
"VSTM5",1.77214513104536e-59,0.734375,13.6489403288264,0.469,0,2.09414390135631e-55
"TAGLN3",1.86125807403842e-56,0.87695666969147,5.05265192704468,0.781,0.033,2.1994486660912e-52
"FABP2",1.53677283389426e-55,0.71875,11.2957330674512,0.438,0,1.81600445781285e-51
"ACCSL",4.79961240979305e-55,0.776911297640653,5.46627599967935,0.562,0.009,5.67170198465245e-51
"TPH2",9.68588174923551e-55,0.776117286751361,4.50334765544778,0.562,0.009,1.14458064630716e-50
"LHFPL3",4.59975469852936e-53,0.946120689655172,4.62756996415457,0.938,0.067,5.43553012725214e-49
"MYCL",1.1274406590962e-52,0.851690108892922,6.25963982422787,0.719,0.031,1.33229662685398e-48
"SRRM4",5.2830975674829e-52,0.974279718693285,3.74417389864123,1,0.085,6.24303639549454e-48
"CXCR4",1.29573826755111e-51,0.703125,15.8864482760431,0.406,0,1.53117391076515e-47
"TRAPPC3L",9.47639429991711e-51,0.927206215970962,3.86189374933191,0.906,0.064,1.1198255144212e-46
"NEUROD6",3.24827538336994e-49,0.761314655172414,6.31366558353921,0.531,0.011,3.83848702052825e-45
"C14orf132",6.17057687443117e-49,0.830535390199637,4.31446616961653,0.688,0.029,7.29177069251532e-45
"GNG13",8.60320685594911e-48,0.919776542649728,4.50664639242362,0.875,0.069,1.01664095416751e-43
"METTL7A",1.16204702979196e-45,0.928453947368421,3.32080980198479,0.938,0.078,1.37319097510516e-41
"EFR3B",8.4740783793792e-44,0.671875,12.8270076972783,0.344,0,1.00138184209124e-39
"UCK2",1.0973164620755e-41,0.845139519056261,2.22116653249734,0.75,0.047,1.29669886323461e-37
"TCERG1L",3.74342121485256e-41,0.852030399274047,3.97320987100392,0.75,0.053,4.42360084959127e-37
"KIF5C",5.96323641691475e-41,0.887335526315789,2.97434282434983,0.844,0.071,7.04675647386816e-37
"BCL11B",7.89300291372444e-41,0.769141333938294,4.06926666493689,0.562,0.022,9.32716154314817e-37
"FAM26E",6.5826004760498e-40,0.65625,12.3006653629934,0.312,0,7.77865898254805e-36
"SLITRK6",8.77432232974862e-40,0.94597890199637,2.88257373718489,1,0.114,1.03686166970639e-35
"BPIFB2",3.65315464542289e-39,0.786978221415608,5.55863108316488,0.594,0.031,4.31693284449623e-35
"NHLH1",8.42182974786697e-39,0.920145190562613,2.95725922145838,0.938,0.1,9.9520762130544e-35
"PDZRN3",2.78417138001475e-38,0.855745235934664,2.81979048962432,0.781,0.062,3.29005531976343e-34
"ZC3H12C",5.81724250352851e-38,0.796563067150635,3.78311105840537,0.625,0.036,6.87423546641964e-34
"HVCN1",4.61661621275517e-37,0.94597890199637,4.73652527594924,0.938,0.134,5.45545537861279e-33
"DUSP10",1.57758637813034e-36,0.874404491833031,3.63534538058709,0.812,0.08,1.86423382303662e-32
"P4HA3",4.98408884685598e-36,0.640625,11.1393315101086,0.281,0,5.88969779032972e-32
"KCNK3",7.44069215246434e-36,0.833059210526316,3.62067288079698,0.719,0.058,8.7926659165671e-32
"TMSB15B",1.03241500783391e-33,0.811592558983666,4.77758264248564,0.656,0.054,1.22000481475733e-29
"NEURL1B",2.19101434573144e-33,0.810004537205082,2.12608639050879,0.688,0.053,2.58912165235085e-29
"VSIG10L",4.71952253618211e-33,0.929531533575318,3.14759184997099,0.969,0.143,5.5770597810064e-29
