"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRRM4",4.15950285039298e-23,0.00126689189189189,-8.17234937096621,0.014,1,4.91528451830939e-19
"VSIG10L",9.40701977239843e-23,0.015625,-14.635718120331,0,0.969,1.11162752650432e-18
"ATOH1",4.16138018493413e-22,0.0179476351351351,-6.83182355539245,0.014,0.969,4.91750296453666e-18
"CALB2",5.21335898316952e-22,0.000422297297297297,-9.4116771613977,0.054,1,6.16062631041142e-18
"METTL7A",7.34440931176481e-22,0.03125,-13.3081434623025,0,0.938,8.67888848371248e-18
"NHLH1",7.34714366271463e-22,0.03125,-12.7147687217652,0,0.938,8.68211966622988e-18
"SLITRK6",2.28092524841171e-21,0.0126689189189189,-5.97095460950632,0.041,1,2.69536936604811e-17
"INSM1",5.41644532154905e-21,0.046875,-9.00386923197906,0,0.906,6.40061343647451e-17
"TRAPPC3L",5.52425871497082e-21,0.046875,-13.2842638267894,0,0.906,6.52801652348102e-17
"LOC418355",5.52627446575802e-21,0.046875,-13.8750113554754,0,0.906,6.53039853618626e-17
"LOC107051857",8.86436704781832e-21,0.00380067567567568,-5.74771560020735,0.095,1,1.04750225404069e-16
"PQLC2L",2.65351935143546e-20,0.0217483108108108,-6.33346465305077,0.068,0.969,3.13566381759128e-16
"LOC112532717",4.00889464743933e-20,0.0625,-13.344842017208,0,0.875,4.73731080487906e-16
"GNG13",4.01176264768513e-20,0.0625,-13.9674683241242,0,0.875,4.74069992076952e-16
"LOC107049019",2.80177078025878e-19,0.078125,-10.5336339122477,0,0.844,3.3108525310318e-15
"CREB5",2.80570195904343e-19,0.078125,-13.0034630106499,0,0.844,3.31549800500163e-15
"TOX",2.80668557324934e-19,0.078125,-11.9202597993283,0,0.844,3.31666034190874e-15
"TTYH2",3.23229023130653e-19,0.0679898648648649,-6.66080910129388,0.014,0.875,3.81959736633493e-15
"HVCN1",3.52996758115104e-19,0.0363175675675676,-9.67988628901701,0.081,0.938,4.17136269064618e-15
"NREP",6.0402300471565e-19,0.0179476351351351,-8.79183521370937,0.149,0.969,7.13773984672483e-15
"KCNA4",7.04291727133949e-19,0.0443412162162162,-5.9806126611858,0.068,0.938,8.32261533954188e-15
"NFASC",7.4452348256044e-19,0.0130912162162162,-4.71657636802904,0.162,1,8.79803399341673e-15
"STMN1",1.62052949770406e-18,0,-6.22522809143603,0.257,1,1.91497970743688e-14
"EPCAM",6.51625123354905e-18,0.0135135135135135,-4.51051681515152,0.23,1,7.70025408268491e-14
"CFAP126",1.23133045665729e-17,0.109375,-9.39927792450897,0,0.781,1.45506320063192e-13
"SSFA2",1.23548655921131e-17,0.109375,-11.6304662214082,0,0.781,1.45997446702001e-13
"PROX1",1.23673597639142e-17,0.109375,-11.2373593621988,0,0.781,1.46145090330174e-13
"GSTA4L",1.23756958535744e-17,0.109375,-13.9226250499438,0,0.781,1.46243597901689e-13
"LSAMP",1.23756958535744e-17,0.109375,-12.2325146153643,0,0.781,1.46243597901689e-13
"TAGLN3",1.23798658921392e-17,0.109375,-13.2822559001732,0,0.781,1.46292875247409e-13
"BTG2",1.36533363655521e-17,0.0206925675675676,-4.90573701089274,0.216,1,1.6134147583173e-13
"MEX3A",1.4204037539953e-17,0.0701013513513514,-4.65405417934045,0.054,0.906,1.67849111609624e-13
"ARHGDIB",1.90301381100429e-17,0.100506756756757,-6.01102236738125,0.014,0.812,2.24879142046377e-13
"GADD45G",2.0866546510494e-17,0.0428631756756757,-5.35370695946906,0.135,0.969,2.46579980114508e-13
"FSCN1",5.68609010517494e-17,0.111908783783784,-8.75119533775098,0.014,0.781,6.71925267728523e-13
"SDK1",6.9061954369779e-17,0.112964527027027,-7.30442492761424,0.014,0.781,8.16105114787678e-13
"TCERG1L",7.81320599472374e-17,0.125,-12.3400239284344,0,0.75,9.23286552396504e-13
"ADPRHL1",1.08785825027751e-16,0.0445523648648649,-2.91020877196406,0.176,0.969,1.28552209435294e-12
"NSG1",1.41384956281137e-16,0.0200591216216216,-3.91337161118025,0.324,1,1.6707460283742e-12
"TWF1",1.58813230474187e-16,0.0726351351351351,-5.01934195888135,0.095,0.906,1.87669594451346e-12
"POMGNT2",1.68803841085049e-16,0.0625,-4.47401524120934,0.122,0.938,1.99475499010203e-12
"VOPP1",2.54720815574203e-16,0.0831925675675676,-4.47900163329036,0.081,0.875,3.01003587764036e-12
"TMEM255B",3.30795472616668e-16,1,5.22295612073841,1,0.469,3.90901009991117e-12
"SLC34A2",3.38936987297963e-16,0.993243243243243,16.1921844999664,0.986,0,4.00521837890003e-12
"KCNK3",4.77065637299535e-16,0.140625,-11.2835948283815,0,0.719,5.6374846359686e-12
"UCHL1",5.28844841707843e-16,0.0327280405405405,-4.51919807545964,0.311,0.969,6.24935949446158e-12
"ILF2",5.51715370625401e-16,0.00380067567567568,-2.32056095877564,0.77,1,6.51962053468037e-12
"PDZRN3",6.15962586020252e-16,0.119932432432432,-5.68856479306704,0.027,0.781,7.27882987900131e-12
"ATP8B4",7.10807308530773e-16,0.131334459459459,-7.74516075154805,0.014,0.75,8.39960996490815e-12
"GSTAL2",8.21136494038913e-16,0.0943834459459459,-4.80198297489538,0.081,0.844,9.70336995005783e-12
"GORASP2",8.97513166221662e-16,0.00929054054054054,-2.71396830873032,0.676,1,1.06059130852414e-11
"NF2",1.02687377610582e-15,0.0741131756756757,-3.85845285867963,0.122,0.938,1.21345674122424e-11
"LOC101750583",1.19753773738305e-15,0.0967060810810811,-5.45684479371024,0.081,0.844,1.41513034426555e-11
"ADGRG6",1.20764383404501e-15,0.0506756756756757,-2.95119036302079,0.216,1,1.42707271869099e-11
"SETD7",1.6628961964416e-15,0.0506756756756757,-3.83686441636016,0.243,0.969,1.96504443533503e-11
"LMO7",1.73645831568716e-15,0.97972972972973,15.9387054073089,0.959,0,2.05197279164751e-11
"SART3",2.48939702217163e-15,0.0437077702702703,-3.55303696557436,0.311,0.969,2.94172046110022e-11
"NRGN",2.52989309523965e-15,0.980996621621622,5.57583561507507,0.973,0.188,2.98957467064469e-11
"NEURL1B",2.8129235518822e-15,0.15625,-9.77169578985002,0,0.688,3.32403176125919e-11
"SCHIP1",3.29370019770974e-15,0.134712837837838,-5.57752324216103,0.027,0.75,3.8921655236336e-11
"USP18",4.2167023742346e-15,0.100717905405405,-5.23431034019557,0.095,0.844,4.98287719563302e-11
"ROPN1L",4.69798587046008e-15,0.126900337837838,-4.92654775693417,0.041,0.781,5.55160990312268e-11
"RSPH1",4.75097240344389e-15,0.0977618243243243,-4.85063396245928,0.108,0.844,5.61422408914965e-11
"GADL1",8.43248801411805e-15,0.966216216216216,16.8996886209487,0.932,0,9.9646710862833e-11
"ACTB",1.10476527654608e-14,0.027027027027027,-3.87995953678958,0.743,1,1.3055011272945e-10
"CDKN1C",1.14273080376465e-14,0.137035472972973,-5.35694097795151,0.041,0.75,1.35036499080868e-10
"FZD3",1.18461102598377e-14,0.0762246621621622,-3.07971654774946,0.189,0.938,1.39985484940503e-10
"ATP6V1C2",1.26063547151129e-14,0.967905405405405,8.36505668609946,0.946,0.188,1.48969293668489e-10
"PDIA4",1.32146353785976e-14,0.0306165540540541,-3.11980545288708,0.649,1,1.56157346268888e-10
"TMSB15B",1.60599025978992e-14,0.171875,-8.70130646195862,0,0.656,1.89779868999374e-10
"MAP3K19",1.61452239835954e-14,0.171875,-12.0264369888843,0,0.656,1.90788111814147e-10
"MGST1",1.61937585970667e-14,0.113175675675676,-3.8459578199999,0.081,0.844,1.91361645341537e-10
"UCK2",1.66400958581042e-14,0.144214527027027,-2.52147800321608,0.027,0.75,1.96636012755217e-10
"CALB1",1.72068116837578e-14,0.970861486486487,4.04851910509937,1,0.906,2.03332893666966e-10
"DCLK3",1.82229508597481e-14,0.959459459459459,14.1234223655237,0.919,0,2.15340610309643e-10
"COL5A1",2.47380685836088e-14,0.115920608108108,-1.49782355500551,0.081,0.844,2.92329756452505e-10
"DNAI2",2.86118903689472e-14,0.124788851351351,-4.96902038873229,0.081,0.781,3.38106708489849e-10
"CDC42EP4",2.97162479182811e-14,0.129222972972973,-4.40271873525022,0.068,0.781,3.51156901650328e-10
"RASGEF1C",3.13350808558793e-14,0.163851351351351,-6.1266122966913,0.014,0.688,3.70286650473926e-10
"CTHRC1",3.4608313408592e-14,0.0863597972972973,-3.24983492225052,0.189,0.906,4.08966439549331e-10
"NFIA",3.58054858894484e-14,0.0413851351351351,-2.38800987811532,0.568,1,4.23113426755612e-10
"TRAFD1",3.77162941010134e-14,0.0772804054054054,-3.64675824318102,0.23,0.938,4.45693447391675e-10
"GPR78",3.88870246877034e-14,0.952702702702703,13.2601248617465,0.905,0,4.59527970734592e-10
"S100Z",3.88870246877034e-14,0.952702702702703,14.7489180953209,0.905,0,4.59527970734592e-10
"GNG2",3.97502560227769e-14,0.126900337837838,-1.61864829673396,0.068,0.812,4.69728775421155e-10
"ELAVL4",4.01468780478659e-14,0.131123310810811,-4.99809602742438,0.068,0.781,4.74415657891631e-10
"LANCL2",5.37781776945229e-14,0.0498310810810811,-3.14997653562602,0.473,1,6.35496725816177e-10
"TUBA1A",6.08694589209524e-14,0.0392736486486486,-2.26456550677865,0.905,1,7.19294396068895e-10
"GLRX3",7.06067706010823e-14,0.0502533783783784,-2.6274323849949,0.514,0.969,8.34360208192989e-10
"CHRNA1",8.31132661425355e-14,0.0608108108108108,-3.38075761673739,0.392,0.969,9.82149466006342e-10
"TMEM100",8.96665698136864e-14,0.1875,-12.0643217488892,0,0.625,1.05958985548833e-09
"TMEM200C",8.96665698136864e-14,0.1875,-11.5779598271366,0,0.625,1.05958985548833e-09
"EGR1",1.07764859709182e-13,0.102618243243243,-4.96839680254393,0.176,0.844,1.27345734718341e-09
"FADS2",1.11662354283884e-13,0.097339527027027,-3.17411063424253,0.176,0.906,1.31951404057266e-09
"DDX5",1.13883660694573e-13,0.0443412162162162,-1.71556352828721,0.892,1,1.34576321842777e-09
"SPTBN1",1.15178023041191e-13,0.955658783783784,2.97985878709635,1,0.969,1.36105869827776e-09
"CCND2",1.18059366456319e-13,0.156038851351351,-3.7081487939547,0.041,0.719,1.39510753341432e-09
"KSR1",1.57371876266417e-13,0.0728462837837838,-2.58411413234039,0.338,0.938,1.85966346184025e-09
"CD24",1.70380230065762e-13,0.939189189189189,11.4693668138951,0.878,0,2.01338317868712e-09
"TMEM106C",2.71406638025915e-13,0.0857263513513514,-2.77900264725032,0.27,0.938,3.20721224155224e-09
"RPSA",3.23675055702647e-13,0.0529983108108108,-1.86680209732824,0.878,0.969,3.82486813323818e-09
"LBH",3.50553895795531e-13,0.932432432432432,13.7956448126108,0.865,0,4.14249538661578e-09
"LZTR1",3.78749002587688e-13,0.0988175675675676,-3.18903499443574,0.216,0.906,4.4756769635787e-09
"LHFPL3",4.02649306875486e-13,0.104096283783784,-3.42241020695579,0.176,0.938,4.75810685934761e-09
"C14orf132",4.45791911593398e-13,0.169130067567568,-5.54053315888584,0.041,0.688,5.26792301929918e-09
"CRIP2",4.54010446150604e-13,0.078125,-1.86788656764135,0.338,1,5.36504144216168e-09
"CALN1",4.81374885416581e-13,0.203125,-10.9908130791536,0,0.594,5.68840702096774e-09
"ASS1",4.82821078038971e-13,0.203125,-12.4249863653746,0,0.594,5.70549667918652e-09
"CRABP1",4.83110798673549e-13,0.203125,-12.5454019308312,0,0.594,5.70892030792533e-09
"BPIFB2",4.83110798673549e-13,0.203125,-15.6824614410673,0,0.594,5.70892030792533e-09
"SCN5A",4.83110798673549e-13,0.203125,-11.4855777709032,0,0.594,5.70892030792533e-09
"JUP",5.13559519370269e-13,0.113809121621622,-4.1286664482784,0.176,0.844,6.06873284039847e-09
"PLOD2",5.42264538726978e-13,0.114231418918919,-3.50765094308798,0.162,0.875,6.4079400541367e-09
"LRRC73",5.44077834564898e-13,0.126266891891892,-4.28003141679106,0.135,0.812,6.42936777105339e-09
"CIB3",5.58953834225079e-13,0.111697635135135,-4.79694089894523,0.189,0.844,6.60515745903775e-09
"CHRNA9",5.78464688157482e-13,0.93433277027027,5.9936340926822,0.892,0.156,6.83571721995697e-09
"BMP4",6.27806220111905e-13,0.938766891891892,4.25236572351147,0.932,0.375,7.41878610306238e-09
"PKIG",6.70724258298873e-13,0.0591216216216216,-1.90196525827495,0.865,0.969,7.92594856031779e-09
"TMEM132B",6.97835992544575e-13,0.134712837837838,-3.91698250855636,0.108,0.812,8.24632792389924e-09
"DNER",7.07132386427827e-13,0.94066722972973,3.84661305231004,0.959,0.969,8.35618341041763e-09
"SDR42E2",7.11920619904153e-13,0.925675675675676,14.0358393587679,0.851,0,8.41276596540738e-09
"RGS9BP",7.12021465089704e-13,0.925675675675676,13.2083332351488,0.851,0,8.41395765296503e-09
"KIF5C",7.32738339366498e-13,0.128378378378378,-3.85657234241268,0.122,0.844,8.6587689562939e-09
"DYNLT1",8.66198551962462e-13,0.0625,-1.943693907421,0.743,0.969,1.02358682885404e-08
"FBXO39",9.47852468109271e-13,0.147804054054054,-3.83218677503754,0.081,0.781,1.12007726156473e-08
"DARS",1.00540937588252e-12,0.0709459459459459,-2.5151746620468,0.527,0.969,1.18809225948037e-08
"LFNG",1.07185815538746e-12,0.174619932432432,-5.21982008118721,0.041,0.688,1.26661478222136e-08
"LOC107053413",1.15750446610889e-12,0.170396959459459,-6.4189067312579,0.054,0.688,1.36782302760087e-08
"CDKL1",1.25006950892838e-12,0.103462837837838,-3.37784023797478,0.257,0.875,1.47720713870067e-08
"DUSP19",1.26155818486699e-12,0.934543918918919,3.88594969254705,0.919,0.594,1.49078330705732e-08
"DUSP10",1.27442546490484e-12,0.135557432432432,-3.87592694532833,0.122,0.812,1.50598857187805e-08
"PKM",1.36118670347e-12,0.0650337837837838,-1.62126233788321,0.878,0.969,1.6085143274905e-08
"UTRN",1.42798771222208e-12,0.918918918918919,13.3651401617087,0.838,0,1.68745307953283e-08
"HAPLN1",1.42818573444952e-12,0.918918918918919,12.968744618956,0.838,0,1.687687082399e-08
"SCN3B",1.42858185489822e-12,0.918918918918919,12.4051414631363,0.838,0,1.68815517793323e-08
"CFAP44",1.748432068615e-12,0.144636824324324,-3.97148429717706,0.108,0.781,2.06612217548234e-08
"H3F3C",2.16274122937054e-12,0.0707347972972973,-1.88709583330996,0.716,0.969,2.55571131074717e-08
"MAP1B",2.21276369410023e-12,0.073902027027027,-2.47577890516044,0.595,1,2.61482285731824e-08
"LOC107051795",2.39252751324149e-12,0.0707347972972973,-2.88657427633393,0.77,0.969,2.82724976239747e-08
"BCL11B",2.46082640484821e-12,0.21875,-9.49022413575955,0,0.562,2.90795856260913e-08
"TPH2",2.52620786892839e-12,0.21875,-11.6167211298737,0,0.562,2.98521983871268e-08
"GPX2",2.61214663908372e-12,0.929476351351351,2.89275331374122,0.932,0.906,3.08677368340523e-08
"CLIC5",2.83184611616785e-12,0.912162162162162,12.6881085139548,0.824,0,3.34639255547555e-08
