"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLITRK6",1.69083207561333e-27,0.998503989361702,8.78641003033504,1,0.011,1.99805626375228e-23
"GATA3",1.35554756300891e-26,1,9.98632751445209,1,0.032,1.60185055520763e-22
"NR2F1",3.74557634519536e-26,0.96875,9.85379687006492,0.938,0,4.42614756711736e-22
"METTL7A",6.46581543120858e-25,0.967752659574468,10.3313508534639,0.938,0.021,7.64065409505917e-21
"LHFPL3",6.97791509120278e-25,0.967420212765957,10.5432735384498,0.938,0.021,8.24580226327432e-21
"ISL1",6.98174910349886e-25,0.967420212765957,11.0598333084827,0.938,0.021,8.2503329156046e-21
"SRRM4",2.98451638022124e-24,0.989527925531915,5.62995958627331,1,0.064,3.52680300650745e-20
"NR2F2",3.97568222796974e-24,0.9375,13.2331889907771,0.875,0,4.69806368879184e-20
"LOC418355",2.94619861708061e-23,0.950797872340426,7.71235220132536,0.906,0.032,3.48152290580415e-19
"HVCN1",5.54721926066828e-23,0.962433510638298,7.005122217628,0.938,0.053,6.55514900033171e-19
"LOC112532717",7.09638763005413e-23,0.930851063829787,6.15859604274037,0.875,0.011,8.38580126243496e-19
"LOXHD1",2.72173800636426e-22,0.95029920212766,9.47272929583045,0.906,0.053,3.21627780212065e-18
"LOC107049019",3.88624291390476e-22,0.917719414893617,6.63084188485279,0.844,0.011,4.59237325136125e-18
"CIB2",4.78026347354027e-22,0.965093085106383,6.9076046243491,0.938,0.085,5.64883734668254e-18
"KSR1",5.32241334777915e-22,0.956117021276596,4.58746110114087,0.938,0.064,6.28949585307063e-18
"INSM1",9.66999282614694e-22,0.939494680851064,5.64856499988665,0.906,0.043,1.14270305226578e-17
"TAGLN3",1.95608870864587e-20,0.888796542553192,9.53992854497151,0.781,0.011,2.31151002700683e-16
"NHLH1",1.98986834736297e-20,0.946309840425532,4.54815155404649,0.938,0.085,2.35142742607883e-16
"KIF5C",3.80324872318357e-20,0.907413563829787,5.59334489516013,0.844,0.032,4.49429901618602e-16
"CALB1",2.93519763070932e-19,0.943151595744681,7.54473909468147,0.906,0.128,3.4685230402092e-15
"MEX3A",3.85476777389414e-19,0.941655585106383,5.27672364091805,0.906,0.128,4.55517907841071e-15
"SART3",5.01990552915254e-19,0.969747340425532,4.47449451232119,0.969,0.213,5.93202236379956e-15
"EPCAM",7.08684797349742e-19,0.983377659574468,4.17374270988533,1,0.277,8.3745282502819e-15
"SSFA2",1.51768085539975e-18,0.879488031914894,4.64468482934225,0.781,0.032,1.79344346682589e-14
"GNG13",1.6008190112812e-18,0.91938164893617,5.04816120994631,0.875,0.096,1.89168782563099e-14
"MYCL",1.6245483611517e-18,0.857047872340426,7.95954527087851,0.719,0.011,1.91972879837296e-14
"TMSB4X",1.63590967284835e-18,0.972074468085106,4.4364793214497,1,0.245,1.9331544604049e-14
"ST6GAL1",2.03240729185414e-18,0.84375,13.1215942219247,0.688,0,2.40169569678404e-14
"PDZRN3",2.80956818490278e-18,0.876496010638298,4.9727322618243,0.781,0.032,3.32006672409962e-14
"STK38L",3.15207022029329e-18,0.915724734042553,4.15558956249057,0.906,0.085,3.72480137932059e-14
"LANCL2",3.24191541103438e-18,0.97406914893617,4.1511323062431,1,0.277,3.83097144121932e-14
"UCK2",6.53162293444502e-18,0.86186835106383,3.7309583899072,0.75,0.021,7.71841882163369e-14
"KCNH7",7.19426204664079e-18,0.931848404255319,3.77093645254685,0.938,0.138,8.50145946051542e-14
"PQLC2L",7.53059462860912e-18,0.943317819148936,3.60019379363414,0.969,0.17,8.8989036726274e-14
"NF2",7.95332415057916e-18,0.934341755319149,4.22304070739449,0.938,0.149,9.3984431487394e-14
"CDO1",8.20206523422598e-18,0.880984042553192,6.24143776335964,0.781,0.053,9.69238048728484e-14
"POU4F3.1",8.25627505847265e-18,0.98686835106383,4.14371497734033,1,0.404,9.75644023659713e-14
"CTHRC1",9.09109480248026e-18,0.920711436170213,3.20180740864312,0.906,0.117,1.07429467280909e-13
"S100A1",1.0636667361982e-17,0.986535904255319,3.72039774464772,1,0.426,1.25693498216542e-13
"ATOH1",1.30039624167902e-17,0.961436170212766,3.61305815624781,0.969,0.266,1.5366782387921e-13
"TTYH2",1.73524177522511e-17,0.917054521276596,5.34698150517763,0.875,0.128,2.05053520578351e-13
"ANKRD60",1.94220438058598e-17,0.9609375,3.4155843445696,1,0.266,2.29510291653846e-13
"FGFRL1",2.36553078234022e-17,0.83876329787234,7.41900430492986,0.688,0.011,2.79534772549144e-13
"SYDE2",2.43741200059426e-17,0.850066489361702,6.37509514138655,0.719,0.021,2.88028976110224e-13
"STMN1",2.6142458107038e-17,0.985206117021277,4.31937756164295,1,0.457,3.08925427450868e-13
