"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRRM4",1.1291967972206e-19,1,12.1177141143894,1,0,1.33437185527559e-15
"SLITRK6",2.40122228182149e-19,1,11.6496736935433,1,0.018,2.83752437042845e-15
"NR2F1",3.97647278654109e-18,0.96875,9.13209803255202,0.938,0,4.69899789185561e-14
"METTL7A",4.01492524577402e-18,0.96875,12.9315801108383,0.938,0,4.74443716293116e-14
"NHLH1",4.01676507836231e-18,0.96875,12.338205370301,0.938,0,4.74661129310074e-14
"VSIG10L",9.23044621068076e-18,0.981359649122807,7.40117377373927,0.969,0.053,1.09076182871615e-13
"GATA3",1.5169461785198e-17,0.996162280701754,5.97071495822143,1,0.123,1.79257529915684e-13
"REEP6",2.52922247320709e-17,0.982456140350877,7.76868648621964,0.969,0.088,2.98878219658882e-13
"LHFPL3",3.08068606643615e-17,0.965186403508772,8.23661220021575,0.938,0.035,3.6404467247076e-13
"LOC418355",8.95536124112422e-17,0.949287280701754,7.02271457304476,0.906,0.018,1.05825503786365e-12
"LOC112532717",1.2269155337421e-16,0.9375,12.9682786657438,0.875,0,1.44984608622305e-12
"NR2F2",1.22745117319082e-16,0.9375,12.5114901532642,0.875,0,1.45047905135959e-12
"STMN1",1.29919256292104e-16,1,6.18447554810009,1,0.246,1.53525585160379e-12
"TRAPPC3L",1.31538795974532e-16,0.946820175438597,6.65977296188161,0.906,0.018,1.55439395203104e-12
"TMSB4X",1.52814323657788e-16,0.986293859649123,5.26141486599886,1,0.158,1.80580686266409e-12
"ATOH1",1.91941133096128e-16,0.965186403508772,3.02462584959838,0.969,0.07,2.26816836979694e-12
"PQLC2L",2.10457385706503e-16,0.968201754385965,5.04225535959655,0.969,0.088,2.48697492689375e-12
"CALB1",3.07203471786514e-16,0.941337719298246,7.09469514557471,0.906,0.018,3.63022342610123e-12
"HVCN1",3.81123071708571e-16,0.960526315789474,6.54251060143223,0.938,0.088,4.50373133838018e-12
"TPST1",6.31753779581628e-16,0.970394736842105,5.51939054134796,0.969,0.14,7.4654344133161e-12
"KIF5C",6.40768259743314e-16,0.921875,11.529857540399,0.844,0,7.57195852538674e-12
"LOC107049019",6.41041387901649e-16,0.921875,10.1570705607835,0.844,0,7.57518608083378e-12
"S100A1",7.2643282093098e-16,0.987116228070175,4.37721053038855,1,0.246,8.58425664494139e-12
"MEX3A",8.23996742942292e-16,0.943530701754386,5.84453142060014,0.906,0.053,9.73716951134907e-12
"LOC107051857",9.09992285940948e-16,0.991776315789474,4.12965100445899,1,0.298,1.07533788429642e-11
"GNG13",1.26647876004656e-15,0.932017543859649,7.11517154169362,0.875,0.035,1.49659795074702e-11
"POU4F3.1",2.50751384599006e-15,0.989035087719298,4.12872391290096,1,0.351,2.96312911180645e-11
"TMEM184A",2.64816606642655e-15,0.927083333333333,5.65504564070553,0.875,0.035,3.12933784069626e-11
"EPCAM",2.69651777318887e-15,0.979714912280702,3.52168056713634,1,0.263,3.18647505257728e-11
"LANCL2",5.10630250371962e-15,0.972861842105263,3.9941358193849,1,0.246,6.03411766864547e-11
"TTYH2",5.43376887371967e-15,0.926535087719298,6.05104657353664,0.875,0.053,6.42108467807453e-11
"ANKRD60",7.06496418119266e-15,0.966008771929825,4.63509183499101,1,0.211,8.34866817291537e-11
"LASP1",8.65349147953381e-15,0.935032894736842,5.19629474502826,0.906,0.088,1.02258308813651e-10
"SCN3B",1.00799150366384e-14,0.0175438596491228,-13.6934869574993,0,0.965,1.19114355987956e-10
"NFASC",1.19680364822402e-14,0.976973684210526,3.8801107134299,1,0.351,1.41426287110633e-10
"CRMP1",1.27810797043955e-14,0.902412280701754,8.59177944688571,0.812,0.018,1.51034018866842e-10
"NSG1",1.40011373384959e-14,0.960800438596491,3.61345178985262,1,0.211,1.65451439929006e-10
"ILF2",1.44700588466454e-14,0.993421052631579,2.33463265594854,1,0.895,1.70992685390808e-10
"TAGLN3",1.58377381101848e-14,0.890625,12.9056925487089,0.781,0,1.87154551248054e-10
"CLIC5",2.57646518827222e-14,0.0263157894736842,-13.7402837705217,0,0.947,3.04460891298128e-10
"GSN",2.61943781443731e-14,0.902412280701754,8.17553120542354,0.812,0.035,3.09538966532057e-10
"INSM1",2.94361398514297e-14,0.922423245614035,4.23498845773609,0.906,0.07,3.47846864624344e-10
"SALL1",3.32399205307374e-14,0.986293859649123,3.15690608329325,1,0.825,3.92796140911724e-10
"ZONADHL",3.44592326577809e-14,0.0197368421052632,-7.17166949384458,0.219,0.982,4.07204752316997e-10
"GORASP2",3.68173755300942e-14,0.979714912280702,2.82152676848044,1,0.544,4.35070926639124e-10
"ADGRG6",3.72689361644733e-14,0.961348684210526,3.39590524599315,1,0.281,4.40407018655581e-10
"SCG3",4.03473375310444e-14,0.0158991228070175,-4.93767706502851,0.562,1,4.76784487604351e-10
"SSFA2",4.6703678697266e-14,0.888706140350877,10.253902869944,0.781,0.018,5.51897371165592e-10
"TMEM255B",5.12641545441818e-14,0.018640350877193,-4.72766831694505,0.469,1,6.05788514248596e-10
"TUBA1A",6.55435838616787e-14,0.980811403508772,2.78719249224138,1,0.877,7.74528530493457e-10
"DBI",7.38204875819981e-14,0.977521929824561,2.98559327507847,1,0.684,8.72336701756471e-10
"UCK2",7.46663975266983e-14,0.875,11.1020166933142,0.75,0,8.82332819572994e-10
"LOC101748751",7.97104160915525e-14,0.0290570175438596,-5.87398292000742,0.156,0.965,9.41937986953876e-10
"KSR1",8.91413465176541e-14,0.933936403508772,3.64853154740731,0.938,0.158,1.05338329179912e-09
"DMD",9.09741664089867e-14,0.0285087719298246,-6.27660455882505,0.188,0.982,1.075041724455e-09
"SART3",1.33991818638357e-13,0.947368421052632,3.26259888674043,0.969,0.263,1.58338132084946e-09
"GNG2",1.90179622153821e-13,0.893092105263158,5.91284531874614,0.812,0.053,2.24735259499171e-09
"ARHGDIB",1.90436837416821e-13,0.893092105263158,5.49244001104461,0.812,0.053,2.25039210775457e-09
"PDZRN3",1.99704027910494e-13,0.878837719298246,4.95520908335994,0.781,0.018,2.3599024978183e-09
"LOC419602",2.04969276993461e-13,0.0287828947368421,-3.61027838365716,0.812,1,2.42212194623173e-09
"MARCKS",2.11680133313337e-13,0.947368421052632,2.7371928152841,0.969,0.298,2.50142413536371e-09
"SPINT1",2.14582844327493e-13,0.953673245614035,3.59231628576939,1,0.351,2.53572547141799e-09
"CST3",2.40777856261434e-13,0.96984649122807,2.69145914660455,1,0.912,2.84527192744136e-09
"FADS2",2.67254442210126e-13,0.91968201754386,4.01877152992877,0.906,0.14,3.15814574359706e-09
"DUSP10",7.4546817659543e-13,0.883223684210526,4.65650999058513,0.812,0.053,8.80919744282819e-09
"GADD45A",8.92278846718495e-13,0.90405701754386,3.5710376608681,0.875,0.123,1.05440591316725e-08
"CDO1",9.09960757320463e-13,0.877467105263158,5.75293810213977,0.781,0.053,1.07530062692559e-08
"VIM",9.15268994667734e-13,0.0614035087719298,-13.0945175987843,0,0.877,1.08157337099886e-08
"RARB",9.1593250386994e-13,0.0614035087719298,-12.4896015234327,0,0.877,1.08235743982311e-08
"LTK",9.1593250386994e-13,0.0614035087719298,-13.8215781973326,0,0.877,1.08235743982311e-08
"MYCL",1.18429218176886e-12,0.856359649122807,8.30197677078533,0.719,0.018,1.39947807119626e-08
"CKB",1.40226911670429e-12,0.0455043859649123,-3.26626175847883,0.875,1,1.65706141520946e-08
"C14orf132",1.50752248065775e-12,0.84375,10.9453295209463,0.688,0,1.78143931539327e-08
"ST6GAL1",1.50752248065775e-12,0.84375,12.3998953844118,0.688,0,1.78143931539327e-08
"CADM1",1.57783508283274e-12,0.885690789473684,3.43482559348961,0.844,0.07,1.86452771738345e-08
"LRTOMT",2.04542988581894e-12,0.0501644736842105,-3.24056108732931,0.562,0.965,2.41708449607224e-08
"NF2",2.13621100888949e-12,0.911458333333333,3.40354805593363,0.938,0.175,2.52436054920471e-08
"LOC112532998",2.13934707548515e-12,0.0701754385964912,-13.4833915175815,0,0.86,2.5280664391008e-08
"DLL1",2.28072543572002e-12,0.886513157894737,6.97596529367195,0.812,0.105,2.69513324739035e-08
"PTMA",2.33134219305453e-12,0.948190789473684,2.26584942144085,1,0.702,2.75494706953254e-08
"FAM174B",2.75013940482907e-12,0.895285087719298,3.59663073537522,0.875,0.123,3.24983973468651e-08
"KCNA4",2.87705068247639e-12,0.911458333333333,3.38488078925944,0.938,0.193,3.39981079148235e-08
"COL5A1",3.12364390332241e-12,0.880482456140351,2.47187105313275,0.844,0.07,3.69121000055609e-08
"CHURC1",3.17472338180372e-12,0.947094298245614,2.22278883614086,1,0.912,3.75157062027746e-08
"DUSP19",3.25553313496042e-12,0.0537280701754386,-3.72771302540464,0.594,1,3.84706350558273e-08
"FZD3",3.52823171934993e-12,0.90734649122807,2.80005140101954,0.938,0.175,4.16931142275582e-08
"TSPAN5",3.99722973749438e-12,0.943256578947368,2.67897206663986,1,0.684,4.72352638079711e-08
"ALDH7A1",4.00981159065846e-12,0.908717105263158,3.22750010540404,0.938,0.193,4.73839435668111e-08
"UCHL1",4.61586234455370e-12,0.933388157894737,3.06821396582746,0.969,0.456,5.45456453255911e-08
"ATP8B1",4.89632311472482e-12,0.0789473684210526,-13.136586447955,0,0.842,5.78598502467032e-08
"LMO7",4.90645461558457e-12,0.0789473684210526,-12.7884750801501,0,0.842,5.79795741923628e-08
"ENOX1",5.25224982873356e-12,0.850877192982456,6.33230107077068,0.719,0.035,6.20658362261444e-08
"PKM",5.31395809470641e-12,0.942434210526316,1.8745665139977,0.969,0.93,6.27950428051456e-08
"LOC107053413",5.82342513325403e-12,0.839912280701754,8.212268381236,0.688,0.018,6.88154147996629e-08
"ATP8B4",6.05300418444096e-12,0.859100877192982,5.74844547090039,0.75,0.053,7.15283504475388e-08
"PTMS",6.61518927992969e-12,0.921600877192982,3.49549167339302,0.938,0.351,7.81716917209291e-08
"DARS",6.82582485215767e-12,0.925438596491228,2.5924905360641,0.969,0.386,8.06607722779472e-08
"CTHRC1",7.77695960289502e-12,0.900767543859649,3.20212382383046,0.906,0.193,9.19003316274105e-08
"SETD7",1.01801580037879e-11,0.921875,3.19177764150518,0.969,0.386,1.20298927130762e-07
"CHRNA1",1.03707143704697e-11,0.930921052631579,2.81803205543763,0.969,0.561,1.22550731715841e-07
"CABP2",1.10457396162257e-11,0.087719298245614,-10.5208081948833,0,0.825,1.30527505044939e-07
"DSCC1",1.10581163978697e-11,0.087719298245614,-12.32382513006,0,0.825,1.30673761473627e-07
"WDR60",1.17716086358572e-11,0.0696271929824561,-5.20113987210785,0.375,0.912,1.39105099249925e-07
