"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FGFR3",1.48204275296529e-70,0.956842206419373,4.88382844845649,0.964,0.19,1.75132992117908e-66,"0","FGFR3"
"TECTB",3.0182811954066e-54,0.945762060349798,3.14855996256837,1,0.397,3.56670288861198e-50,"0","TECTB"
"CD81",4.95135279297851e-41,0.910186430905247,2.43545959146662,1,0.905,5.85101359546271e-37,"0","CD81"
"PLEKHG1",1.39674663691982e-40,0.810359408033827,3.75977994206434,0.709,0.144,1.65053550084816e-36,"0","PLEKHG1"
"TECTA",2.30620500885402e-39,0.859465692869498,2.89662687662444,0.891,0.307,2.7252424589628e-35,"0","TECTA"
"ID2",7.1195857291305e-38,0.885902364020757,2.14512884829017,0.991,0.588,8.41321445611351e-34,"0","ID2"
"SEMA3D",2.44916901666495e-37,0.74323467230444,3.19155395183347,0.545,0.059,2.89418302699297e-33,"0","SEMA3D"
"PRLR",3.41500083932031e-37,0.775341149336921,2.8869455971562,0.645,0.104,4.03550649182481e-33,"0","PRLR"
"SORCS3",3.98399158458007e-37,0.692504324428215,5.6510341653322,0.4,0.017,4.70788285549826e-33,"0","SORCS3"
"NTN4L",6.05339702837931e-36,0.720103786277148,5.58291734450051,0.473,0.044,7.15329926843583e-32,"0","NTN4L"
"HS3ST1",2.93248765281543e-35,0.776119546415529,3.4237753572005,0.645,0.125,3.465320659332e-31,"0","HS3ST1"
"HEY2",1.01996937293123e-33,0.761512588891024,2.3639538470993,0.627,0.108,1.20529780799283e-29,"0","HEY2"
"CLDN8",1.646719050922e-33,0.839208149144724,2.69949040023509,0.864,0.37,1.94592790247453e-29,"0","CLDN8"
"GRK5",2.41353660075972e-33,0.680338266384778,3.85655101865109,0.382,0.019,2.85207620111777e-29,"0","GRK5"
"COL14A1",4.39640943206995e-33,0.8120987891601,3.70968177652901,0.755,0.256,5.19523702587706e-29,"0","COL14A1"
"OTOGL",1.02147390906454e-32,0.810272919469537,2.6103056762167,0.791,0.247,1.20707571834156e-28,"0","OTOGL"
"UPK1B",1.16484054177203e-32,0.711752834902941,3.12036909322257,0.473,0.049,1.376492068212e-28,"0","UPK1B"
"ITPR1",1.23205281095563e-32,0.725533346146454,3.79362026577097,0.509,0.066,1.45591680670626e-28,"0","ITPR1"
"COL2A1",2.61794092011333e-32,0.712954064962522,4.18142246817819,0.473,0.053,3.09362078529792e-28,"0","COL2A1"
"FZD10",2.72174343032759e-31,0.678973669037094,3.92345326339186,0.382,0.025,3.21628421161811e-27,"0","FZD10"
"GATA2",6.24820649841004e-31,0.760676532769556,2.93492829044272,0.627,0.137,7.38350561917114e-27,"0","GATA2"
"SGPL1",1.01337463659536e-30,0.746521237747453,3.25059722014911,0.582,0.112,1.19750480806473e-26,"0","SGPL1"
"TIMP3",1.42590170648778e-30,0.804516625024025,4.50603273591699,0.727,0.288,1.68498804655661e-26,"0","TIMP3"
"OTOA",1.80621535588522e-29,0.801825869690563,2.75229902990608,0.773,0.294,2.13440468604956e-25,"0","OTOA"
"LOC107050073",2.21739080301341e-29,0.652575437247742,4.48962681569953,0.318,0.013,2.62029071192095e-25,"0","LOC107050073"
"GATA3",3.41689484429112e-29,0.822141072458197,1.70846655558163,0.927,0.412,4.03774463749882e-25,"0","GATA3"
"SPOCK1",9.26084666189136e-29,0.783442244858735,2.52506127012816,0.727,0.233,1.0943542500357e-24,"0","SPOCK1"
"LOC101750640",5.76969607676364e-28,0.645214299442629,8.09464326361089,0.3,0.013,6.81804985391159e-24,"0","LOC101750640"
"SLC6A2",2.87964223651228e-27,0.724995195079762,3.84337525423276,0.527,0.108,3.40287323088656e-23,"0","SLC6A2"
"SLC25A6",4.63954727765877e-27,0.171968095329618,-2.60475614382444,0.482,0.867,5.48255301800937e-23,"0","SLC25A6"
"OTOF",4.99707724691347e-27,0.184653084758793,-4.95841679063245,0.082,0.677,5.90504618267765e-23,"0","OTOF"
"STC1",8.81599268806856e-27,0.78609456083029,1.31880005733355,0.818,0.279,1.04178585594906e-22,"0","STC1"
"PLSCR5",1.01000834745903e-26,0.185104747261195,-4.64864760419656,0.118,0.687,1.19352686419234e-22,"0","PLSCR5"
"CSRP2",1.80559429995639e-26,0.824014991351144,2.260309932496,0.964,0.744,2.13367078425846e-22,"0","CSRP2"
