"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHRNA10",5.36644979336843e-21,0.95417348608838,4.76085223222611,0.949,0.149,6.34153372082347e-17
"C15orf61",1.84673012929083e-19,0.919803600654664,5.25025641819722,0.872,0.117,2.18228099378298e-15
"ASS1",1.56801872965e-17,0.871658483360611,6.56617878580214,0.769,0.074,1.85292773282741e-13
"LOC107053413",5.5027122697122e-17,0.865248226950355,4.06127479821968,0.769,0.074,6.50255508911891e-13
"GSTA4L",5.86038803593545e-17,0.923758865248227,3.90602606521528,0.923,0.266,6.92522054206492e-13
"PTN",1.73171949004716e-16,0.0466448445171849,-4.50673678574856,0.436,0.968,2.04637292138873e-12
"LOC419602",2.7813003378065e-16,0.0482815057283142,-2.05392805161732,1,1,3.28666260918594e-12
"NHLH1",1.21735466233895e-15,0.849018003273322,4.87961488030776,0.744,0.085,1.43854800448593e-11
"ATOH1",2.51698612213508e-15,0.902209492635025,3.12423829690429,0.949,0.266,2.97432250052702e-11
"MINDY4B",3.28766680841342e-15,0.931669394435352,2.48340936418496,0.974,0.66,3.88503586750214e-11
"HVCN1",6.97784841838306e-15,0.818466993998909,5.72816902366114,0.667,0.053,8.24572347600326e-11
"SEMA3F",1.59005755150461e-14,0.779459901800327,10.187055936161,0.564,0.011,1.878971008613e-10
"LOC107051857",2.24322248274961e-14,0.903709765411893,3.66870282101797,0.923,0.415,2.65081600786522e-10
"CABP1",5.34318629383701e-14,0.0846972176759411,-2.00102808020081,0.821,0.989,6.31404324342719e-10
"CLIC5",5.49806014866074e-14,0.0870158210583742,-3.78438038349102,0.359,0.957,6.4970576776724e-10
"OAZ1",6.13702742783084e-14,0.914348063284233,1.11331948631465,1,1,7.25212531146771e-10
"CTHRC1",6.29096731551779e-14,0.838788870703764,2.72094723809976,0.769,0.117,7.43403607674737e-10
"NMS",7.08958767438578e-14,0.823376977632297,3.71042983967428,0.718,0.085,8.37776575482168e-10
"NMB",7.52534079436941e-14,0.0951991271140207,-4.80887519930846,0.179,0.862,8.89269521670634e-10
"USH1C",7.54961256062681e-14,0.087152209492635,-1.93933188887566,1,1,8.9213771628927e-10
"CXCL14",7.98857105989575e-14,0.912438625204583,1.20926180871324,1,1,9.44009442147881e-10
"CAB39L",1.21151024339732e-13,0.0991543917075832,-5.80979455672188,0.179,0.851,1.43164165462262e-09
"LDHB",2.22353212248541e-13,0.09506273867976,-1.29314803679315,1,1,2.62754790914101e-09
"MAP2K5",4.09117202116767e-13,0.835106382978723,3.99441339052483,0.769,0.149,4.83453797741384e-09
"KSR1",5.28122610127188e-13,0.795280960174577,2.78225621505476,0.641,0.064,6.24082488387298e-09
"CDCP2",5.39085450225645e-13,0.886252045826514,2.50566951381702,0.949,0.468,6.37037276531645e-09
"GNG13",1.39076682146214e-12,0.806055646481178,4.15480861167026,0.692,0.096,1.64346915292181e-08
"PQLC2L",1.76599650594697e-12,0.834697217675941,1.87650576500614,0.821,0.17,2.08687807107753e-08
"HTR3A",2.0961777773945e-12,0.730769230769231,11.4713104566458,0.462,0,2.47705327954708e-08
"EPCAM",2.92078270393763e-12,0.85215493726132,2.91694313370338,0.872,0.277,3.4514889212431e-08
"DLK2",3.30710987026483e-12,0.875340971085652,2.57385159249183,0.949,0.511,3.90801173369195e-08
"CALM2",5.98968757260651e-12,0.879841789416257,1.05224772945776,1,1,7.07801380454912e-08
"LMO1",1.30463341496081e-11,0.812738679759956,2.57871770155328,0.744,0.16,1.54168530645918e-07
