"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC112529921",1.41799879845197e-41,0.874175150829563,5.0205158796805,0.795,0.079,1.67564918013069e-37
"LOC107053413",3.6785944607926e-39,0.85836161387632,4.25411131235329,0.769,0.077,4.34699507431862e-35
"NMS",1.36376478328791e-37,0.826051093514329,3.09621579124492,0.718,0.061,1.61156084441133e-33
"ASS1",8.18595921540947e-37,0.859186463046757,4.92806657856222,0.769,0.088,9.67334800484937e-33
"LINGO3",1.124775307252e-35,0.921875,3.55351296630634,0.923,0.154,1.32914698057968e-31
"KRT20",8.23393660012425e-34,0.664309954751131,8.45479294044732,0.333,0.006,9.73004288036683e-30
"NYX",8.7749088532309e-34,0.664239253393665,7.20151658046807,0.333,0.006,1.0369309791863e-29
"FNDC9L",1.31072328485823e-33,0.830740950226244,4.16794229519492,0.718,0.081,1.54888170571697e-29
"SEMA3F",2.59704412130645e-33,0.761029411764706,3.10215638320467,0.564,0.039,3.06892703814783e-29
"LOC428541",1.08076869979539e-31,0.87733314479638,3.20355794681198,0.846,0.134,1.27714437254822e-27
"MAP3K19",1.61204783421383e-31,0.815822963800905,3.88699609533387,0.692,0.079,1.90495692569049e-27
"HTR3A",5.32130848779778e-31,0.715639140271493,3.18560226873769,0.462,0.024,6.28819024003064e-27
"LOC107051857",9.16130070084675e-31,0.91487556561086,3.77709827832964,0.923,0.193,1.08259090381906e-26
"GNG13",1.17298271980996e-30,0.803285256410256,3.0548469540583,0.692,0.072,1.38611367999943e-26
"CISH",1.31608626605259e-30,0.829468325791855,3.31009424467632,0.744,0.094,1.55521914059434e-26
"CCNJ",5.97144988022619e-30,0.813089177978884,3.47104942273829,0.692,0.085,7.05646232346329e-26
"NHLH1",6.02670141364358e-30,0.834205316742081,3.66744313756845,0.744,0.103,7.12175306050261e-26
"SLITRK4",8.34272702000875e-30,0.717524509803922,3.57620849905578,0.462,0.028,9.85860051954434e-26
"KIAA1524",2.46167958982592e-29,0.685402526395173,5.53996884647407,0.385,0.017,2.90896677129729e-25
"ATOH1",8.02227969117829e-29,0.892133295625943,2.28770738934699,0.949,0.176,9.47992791106539e-25
"DBX1",1.14050603044603e-28,0.650593891402715,5.78413871439083,0.308,0.007,1.34773597617807e-24
"HS3ST4",4.44113286630191e-28,0.673736802413273,6.298141842023,0.359,0.015,5.24808670810896e-24
"LRRC73",5.29653749696324e-27,0.880915346907994,2.96376699022841,0.872,0.186,6.25891836016146e-23
"WDR66",7.93785199723185e-27,0.828832013574661,2.69459353397544,0.769,0.118,9.38015970512888e-23
"KRT23",1.09399290462789e-26,0.64929769984917,4.79671730131378,0.308,0.009,1.29277141539878e-22
"IGFN1",1.85526184251053e-26,0.614677601809955,12.6908038712863,0.231,0.002,2.19236291929469e-22
"LOC101750972",7.7423717462949e-26,0.701616704374057,3.64185077577899,0.436,0.029,9.14916069259669e-22
"C1QTNF4",7.97508504660965e-26,0.893028846153846,2.59185057076581,0.949,0.221,9.42415799957862e-22
"DNASE1",5.74047112520579e-25,0.73336161387632,3.72310928099327,0.513,0.05,6.78351472865568e-21
"CALB2",7.80565010361569e-25,0.943651018099548,3.36102369875225,1,0.384,9.22393672744267e-21
"MINDY4B",7.83672778461468e-25,0.939809577677225,2.92292547506375,0.974,0.371,9.26066122307917e-21
"MMS19",1.43256381499669e-24,0.857065422322775,2.14326696579416,0.897,0.175,1.69286066018159e-20
"DUSP4",1.72698583108182e-24,0.733196644042232,3.75787048960345,0.513,0.051,2.04077915658938e-20
"HS3ST2",2.14428942923386e-24,0.68983314479638,3.21709812166693,0.41,0.028,2.53390681852565e-20
"CXCL14",3.62738058279339e-24,0.965921945701357,2.73062815114922,1,0.539,4.28647563468695e-20
"DLK2",7.00044422683449e-24,0.897836538461538,2.50245484430427,0.949,0.27,8.27242494285031e-20
"CTHRC1",1.0454524566524e-23,0.820842760180995,2.6688587269513,0.769,0.136,1.23541116802614e-19
"RFWD3",1.13617343568281e-23,0.784219457013575,2.81767806774864,0.667,0.096,1.34261614894638e-19
"LHX3",1.18413689729072e-23,0.933564291101056,2.91740369308608,1,0.39,1.39929457152844e-19
"CA9",1.21474856722861e-23,0.728836726998492,2.80519124576677,0.513,0.051,1.43546838189405e-19
"C9H3orf58",1.32654785444325e-23,0.804345776772247,2.36190510538625,0.718,0.118,1.56758159959559e-19
